NAMES,PRICES,RATINGS,IMAGES
"realme P4 Pro 5G (Birch Wood, 128 GB)","₹22,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/b/o/-original-imahfghxxmadhjm4.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/7/s/-original-imahgy26hqbqjfgb.jpeg?q=70
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹7,999",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/o/d/-original-imahfvrmfkwybeyc.jpeg?q=70
"realme P4 Pro 5G (Midnight Ivy, 256 GB)","₹24,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/f/0/-original-imahfghxnhsjpk3a.jpeg?q=70
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/z/x/-original-imahgqnzzgfbyevh.jpeg?q=70
"vivo T4R 5G (Twilight Blue, 128 GB)","₹19,499",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/3/i/-original-imahfkvffkd4qhma.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/j/d/-original-imahgy25zuwqzzye.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/7/s/-original-imahgy26hqbqjfgb.jpeg?q=70
hmd 105 Dual Sim,₹768,3.9,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/p/x/105-dual-sim-ta-1633-hmd-original-imaheff5a6gbjuhr.jpeg?q=70
"POCO M7 Pro 5G (Lunar Dust, 128 GB)","₹11,499",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/m/x/-original-imah7jspd8dcxfut.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Lilac, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/s/8/-original-imahgy26fu3z2hez.jpeg?q=70
hmd 105 Dual Sim,₹764,3.9,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/0/l/105-dual-sim-ta-1633-hmd-original-imaheff5hyzhhtrp.jpeg?q=70
"IQOO Neo 10 (Inferno Red, 512 GB)","₹41,395",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/r/neo-10-i2405-iqoo-original-imahcgtx6xwxzydz.jpeg?q=70
"POCO X7 5G (Yellow, 128 GB)","₹13,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/r/z/-original-imahbzrquuzcbyv3.jpeg?q=70
"IQOO Z10X 5G (Titanium, 256 GB)","₹17,196",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/l/0/z10x-5g-i2404-iqoo-original-imahbngzhft7qyux.jpeg?q=70
"POCO M7 5G (Satin Black, 128 GB)","₹8,499",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/i/3/-original-imah9wydpxgkjtgw.jpeg?q=70
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 128 GB)","₹17,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/l/1/-original-imahbfd4cgh53kmh.jpeg?q=70
"POCO C75 5G (Aqua Bliss, 64 GB)","₹7,299",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/2/g/-original-imahbr2cz5apcwze.jpeg?q=70
"IQOO Neo 10R 5G (MoonKnight Titanium, 256 GB)","₹28,192",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/q/z/10r-5g-i2221-iqoo-original-imaha7hgqdhpgqvv.jpeg?q=70
"vivo T4x 5G (Marine Blue, 128 GB)","₹13,499",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/n/v/-original-imahavdveeghweea.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Iceblue, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/j/d/-original-imahgy25zuwqzzye.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/s/8/-original-imahgy26fu3z2hez.jpeg?q=70
"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 128 GB)","₹39,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/8/s/-original-imahfz2tvjqak9v3.jpeg?q=70
"Ai+ Pulse (Purple, 64 GB)","₹4,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/4/y/-original-imahgzhpcehgd6xv.jpeg?q=70
"vivo T4x 5G (Glacial Teal, 128 GB)","₹13,499",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/k/r/-original-imahfhudssrdghcz.jpeg?q=70
